2026-05-26 10:46:04 | INFO     | src.gui.pages.tree_editor_page | 保存 pallet 修改: pi=7, ci=-1, pri=-1
2026-05-26 10:48:21 | INFO     | src.gui.pages.tree_editor_page | 保存 product 修改: pi=7, ci=0, pri=0
2026-05-26 10:48:23 | INFO     | src.gui.pages.tree_editor_page | 保存 product 修改: pi=7, ci=0, pri=0
2026-05-26 10:48:34 | INFO     | src.gui.pages.tree_editor_page | 保存 product 修改: pi=7, ci=0, pri=0
2026-05-26 10:48:56 | INFO     | src.gui.pages.tree_editor_page | 保存 carton 修改: pi=7, ci=1, pri=-1
2026-05-26 10:49:08 | INFO     | src.gui.pages.tree_editor_page | 保存 carton 修改: pi=7, ci=1, pri=-1
2026-05-26 10:49:17 | INFO     | src.gui.pages.tree_editor_page | 保存 carton 修改: pi=7, ci=0, pri=-1
2026-05-26 10:50:27 | INFO     | src.gui.pages.tree_editor_page | 保存 product 修改: pi=7, ci=1, pri=0
2026-05-26 10:50:37 | INFO     | src.gui.pages.tree_editor_page | 保存 product 修改: pi=7, ci=1, pri=0
2026-05-26 10:50:55 | INFO     | src.gui.pages.tree_editor_page | 新增托盘 #9
2026-05-26 10:52:08 | INFO     | src.gui.pages.tree_editor_page | 保存 product 修改: pi=7, ci=1, pri=0
2026-05-26 10:52:12 | INFO     | src.gui.pages.tree_editor_page | 保存 product 修改: pi=7, ci=0, pri=0
2026-05-26 10:52:16 | INFO     | src.gui.pages.tree_editor_page | 保存 product 修改: pi=6, ci=0, pri=0
2026-05-26 10:52:20 | INFO     | src.gui.pages.tree_editor_page | 保存 product 修改: pi=5, ci=0, pri=0
2026-05-26 10:52:27 | INFO     | src.gui.pages.tree_editor_page | 保存 product 修改: pi=4, ci=0, pri=0
2026-05-26 10:52:37 | INFO     | src.gui.pages.tree_editor_page | 保存 product 修改: pi=3, ci=0, pri=0
2026-05-26 10:52:41 | INFO     | src.gui.pages.tree_editor_page | 保存 product 修改: pi=2, ci=0, pri=0
2026-05-26 10:52:45 | INFO     | src.gui.pages.tree_editor_page | 保存 product 修改: pi=1, ci=0, pri=0
2026-05-26 10:52:49 | INFO     | src.gui.pages.tree_editor_page | 保存 product 修改: pi=0, ci=0, pri=0
2026-05-26 10:53:18 | INFO     | src.gui.app | 切换页面: customer
2026-05-26 10:53:21 | INFO     | src.gui.app | 切换页面: product
2026-05-26 10:53:27 | INFO     | src.gui.pages.tree_editor_page | 新增托盘 #1
2026-05-26 10:53:32 | INFO     | src.gui.pages.tree_editor_page | 保存 pallet 修改: pi=0, ci=-1, pri=-1
2026-05-26 10:53:38 | INFO     | src.gui.pages.tree_editor_page | 保存 carton 修改: pi=0, ci=0, pri=-1
2026-05-26 10:54:48 | INFO     | src.gui.pages.tree_editor_page | 保存 product 修改: pi=0, ci=0, pri=0
2026-05-26 10:59:23 | INFO     | __main__ | 日志系统初始化完成
2026-05-26 10:59:23 | INFO     | __main__ | 环境自检模式完成
2026-05-26 10:59:29 | INFO     | __main__ | 日志系统初始化完成
2026-05-26 10:59:29 | INFO     | __main__ | 启动 GUI 模式
2026-05-26 10:59:29 | INFO     | src.gui.app | DPI 感知已激活
2026-05-26 10:59:30 | INFO     | src.gui.app | GUI 主窗口初始化完成
2026-05-26 10:59:30 | INFO     | src.gui.app | 切换页面: order_info
2026-05-26 10:59:30 | INFO     | config.settings | .env 文件不存在，使用 .env.example 作为参考模板
2026-05-26 10:59:30 | INFO     | config.settings | 已加载业务配置文件: D:\Coding_Programs\CustomsFileGenerator\config\settings.json
2026-05-26 10:59:31 | INFO     | src.gui.app | GUI 主循环启动
